Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stop_Loss_Price,Profit_Target_Price,Gross_Return,Net_Return,Net_PnL_NGN,Days_Held,Exit_Reason
McNichols,2024-05-09,2024-05-10,1.01,0.9797,0.9797,1.111,-3.0,-6.01,-6007.75,1,Stop Loss
Linkassure,2024-05-09,2024-05-17,0.58,0.638,0.5626,0.638,10.0,6.77,6774.5,8,Profit Target
International Breweries,2024-05-10,2024-05-24,4.05,3.9285,3.9285,4.455,-3.0,-6.01,-6007.75,14,Stop Loss
McNichols,2024-05-13,2024-05-20,0.9,0.99,0.873,0.99,10.0,6.77,6774.5,7,Profit Target
Coronation Insurance,2024-05-14,2024-05-21,0.66,0.6402,0.6402,0.726,-3.0,-6.01,-6007.75,7,Stop Loss
Linkassure,2024-05-14,2024-05-17,0.58,0.638,0.5626,0.638,10.0,6.77,6774.5,3,Profit Target
McNichols,2024-05-15,2024-05-20,0.99,1.089,0.9603,1.089,10.0,6.77,6774.5,5,Profit Target
Nigerian Exchange,2024-05-17,2024-06-19,16.54,17.7,16.0438,18.194,7.01,3.84,3837.83,33,Time Stop
Chams,2024-05-22,2024-06-04,1.5,1.455,1.455,1.65,-3.0,-6.01,-6007.75,13,Stop Loss
Japaul Gold Ventures,2024-05-24,2024-05-30,1.74,1.914,1.6878,1.914,10.0,6.77,6774.5,6,Profit Target
Neimeth,2024-05-24,2024-06-04,1.64,1.5908,1.5908,1.804,-3.0,-6.01,-6007.75,11,Stop Loss
Chams,2024-05-24,2024-06-04,1.5,1.455,1.455,1.65,-3.0,-6.01,-6007.75,11,Stop Loss
First HoldCo,2024-05-27,2024-05-29,20.34,22.374,19.7298,22.374,10.0,6.77,6774.5,2,Profit Target
Daarcomm,2024-06-14,2024-07-03,0.52,0.5044,0.5044,0.572,-3.0,-6.01,-6007.75,19,Stop Loss
Daarcomm,2024-06-20,2024-07-03,0.52,0.5044,0.5044,0.572,-3.0,-6.01,-6007.75,13,Stop Loss
First HoldCo,2024-06-25,2024-07-01,19.89,21.879,19.2933,21.879,10.0,6.77,6774.5,6,Profit Target
Daarcomm,2024-07-04,2024-07-09,0.48,0.528,0.4656,0.528,10.0,6.77,6774.5,5,Profit Target
Daarcomm,2024-07-05,2024-07-08,0.44,0.484,0.4268,0.484,10.0,6.77,6774.5,3,Profit Target
Ikeja,2024-07-08,2024-07-11,6.9,6.693,6.693,7.59,-3.0,-6.01,-6007.75,3,Stop Loss
Linkassure,2024-07-19,2024-07-22,0.75,0.7275,0.7275,0.825,-3.0,-6.01,-6007.75,3,Stop Loss
Secure Electronic Tech,2024-07-25,2024-07-26,0.48,0.4656,0.4656,0.528,-3.0,-6.01,-6007.75,1,Stop Loss
Secure Electronic Tech,2024-07-26,2024-07-30,0.46,0.4462,0.4462,0.506,-3.0,-6.01,-6007.75,4,Stop Loss
Secure Electronic Tech,2024-07-29,2024-07-31,0.42,0.4074,0.4074,0.462,-3.0,-6.01,-6007.75,2,Stop Loss
Secure Electronic Tech,2024-07-30,2024-07-31,0.46,0.4462,0.4462,0.506,-3.0,-6.01,-6007.75,1,Stop Loss
Daarcomm,2024-07-31,2024-08-05,0.44,0.4268,0.4268,0.484,-3.0,-6.01,-6007.75,5,Stop Loss
United Capital,2024-07-31,2024-08-05,11.35,12.485,11.0095,12.485,10.0,6.77,6774.5,5,Profit Target
United Capital,2024-08-01,2024-08-02,10.05,11.055,9.7485,11.055,10.0,6.77,6774.5,1,Profit Target
Secure Electronic Tech,2024-08-01,2024-08-02,0.39,0.429,0.3783,0.429,10.0,6.77,6774.5,1,Profit Target
Nigerian Breweries,2024-08-02,2024-08-08,26.0,28.6,25.22,28.6,10.0,6.77,6774.5,6,Profit Target
Daarcomm,2024-08-06,2024-08-23,0.42,0.462,0.4074,0.462,10.0,6.77,6774.5,17,Profit Target
MTN Nigeria,2024-08-06,2024-08-08,178.7,196.57,173.339,196.57,10.0,6.77,6774.5,2,Profit Target
Cutix,2024-08-19,2024-08-21,2.64,2.904,2.5608,2.904,10.0,6.77,6774.5,2,Profit Target
Secure Electronic Tech,2024-08-20,2024-08-23,0.37,0.407,0.3589,0.407,10.0,6.77,6774.5,3,Profit Target
Secure Electronic Tech,2024-08-21,2024-08-23,0.37,0.407,0.3589,0.407,10.0,6.77,6774.5,2,Profit Target
Initiates,2024-09-05,2024-09-13,1.81,1.991,1.7557,1.991,10.0,6.77,6774.5,8,Profit Target
Initiates,2024-09-06,2024-09-13,1.75,1.925,1.6975,1.925,10.0,6.77,6774.5,7,Profit Target
First HoldCo,2024-09-26,2024-09-30,28.84,27.9748,27.9748,31.724,-3.0,-6.01,-6007.75,4,Stop Loss
Abctrans,2024-10-04,2024-10-07,1.12,1.232,1.0864,1.232,10.0,6.77,6774.5,3,Profit Target
McNichols,2024-10-08,2024-10-17,1.33,1.2901,1.2901,1.463,-3.0,-6.01,-6007.75,9,Stop Loss
McNichols,2024-10-09,2024-10-16,1.4,1.358,1.358,1.54,-3.0,-6.01,-6007.75,7,Stop Loss
Daarcomm,2024-10-11,2024-10-14,0.63,0.6111,0.6111,0.693,-3.0,-6.01,-6007.75,3,Stop Loss
Tantalizers,2024-10-14,2024-10-22,0.6,0.582,0.582,0.66,-3.0,-6.01,-6007.75,8,Stop Loss
Tantalizers,2024-11-11,2024-11-13,0.56,0.616,0.5432,0.616,10.0,6.77,6774.5,2,Profit Target
Abctrans,2024-11-15,2024-12-03,1.15,1.1155,1.1155,1.265,-3.0,-6.01,-6007.75,18,Stop Loss
Daarcomm,2024-11-26,2024-11-27,0.56,0.616,0.5432,0.616,10.0,6.77,6774.5,1,Profit Target
Aradel Holdings,2024-12-04,2024-12-13,471.9,519.09,457.743,519.09,10.0,6.77,6774.5,9,Profit Target
Aradel Holdings,2024-12-10,2024-12-13,465.0,511.5,451.05,511.5,10.0,6.77,6774.5,3,Profit Target
Secure Electronic Tech,2024-12-13,2024-12-17,0.57,0.5529,0.5529,0.627,-3.0,-6.01,-6007.75,4,Stop Loss
Secure Electronic Tech,2024-12-16,2024-12-20,0.54,0.594,0.5238,0.594,10.0,6.77,6774.5,4,Profit Target
Dangote Cement,2025-01-16,2025-02-12,387.9,426.69,376.263,426.69,10.0,6.77,6774.5,27,Profit Target
Abctrans,2025-01-17,2025-02-10,1.07,1.177,1.0379,1.177,10.0,6.77,6774.5,24,Profit Target
